Airport,Int_Pax_In,Int_Pax_Out,Longitude,Latitude,ImageURL
Adelaide,135001,105958,138.599503,-34.92123,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Alice Springs,0,0,133.882675,-23.700552,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Ayers Rock,0,0,131.035431,-25.34449,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Ballina,0,0,153.5333,-28.8333,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Brisbane,728899,659392,153.021072,-27.470125,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Cairns,64826,54395,145.75412,-16.925491,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Canberra,6471,6540,149.128998,-35.282001,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Darwin,28124,19300,130.841782,-12.462827,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Gold Coast,109436,98308,153.399994,-28.016666,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Hobart,0,0,147.324997, -42.880554,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Karratha,0,0,116.846001,-20.736,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Launceston,0,0,147.157135,-41.429825,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Mackay,0,0,149.186813,-21.144337,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Melbourne,1257366,1177085,144.946457,-37.840935,https://github.com/mdav0032/FIT3179_Data_Visualisation_2_Moksh/blob/53f75e8b9f46cba970684ff1fc5466ac769ad694/image_files/passenger_icon.png
Newcastle,2290,1904,151.75,-32.916668,../image_files/passenger_icon.png
Perth,523827,455133,115.857048,-31.953512,../image_files/passenger_icon.png
Rockhampton,0,0,150.511673,-23.375,../image_files/passenger_icon.png
Sunshine Coast,0,0,153.066666,-26.65,../image_files/passenger_icon.png
Sydney,1921734,1861178,151.2099,-33.865143,../image_files/passenger_icon.png
Townsville,0,0,146.816956,-19.258965,../image_files/passenger_icon.png
