Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_arrivals_sum,continent
ST.INT.ARVL,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,Asia
ST.INT.ARVL,Albania,ALB,317000.00,354000.00,470000.00,557000.00,645000.00,748000.00,937000.00,1127000.00,1420000.00,1856000.00,2417000.00,2932000.00,3514000.00,3256000.00,3673000.00,4131000.00,4736000.00,5118000.00,5927000.00,6406000.00,2658000.00,53199000.00,Europe
ST.INT.ARVL,Algeria,DZA,866000.00,901000.00,988000.00,1166000.00,1234000.00,1443000.00,1638000.00,1743000.00,1772000.00,1912000.00,2070000.00,2395000.00,2634000.00,2733000.00,2301000.00,1710000.00,2039000.00,2451000.00,2657000.00,2371000.00,591000.00,37615000.00,Africa
ST.INT.ARVL,American Samoa,ASM,44000.00,36000.00,,,,24500.00,25300.00,24100.00,24300.00,23500.00,23100.00,22600.00,22600.00,20800.00,21600.00,20300.00,20100.00,20000.00,20200.00,19200.00,900.00,413100.00,Null
ST.INT.ARVL,Andorra,AND,10991000.00,11351000.00,11507000.00,11601000.00,11668000.00,11049000.00,10737000.00,10743000.00,10194000.00,9112000.00,8551000.00,7983000.00,7900000.00,7676000.00,7797000.00,7850000.00,8025000.00,8152000.00,8328000.00,8235000.00,5207000.00,194657000.00,Europe
ST.INT.ARVL,Angola,AGO,51000.00,67000.00,91000.00,107000.00,194000.00,210000.00,121000.00,195000.00,294000.00,366000.00,425000.00,481000.00,528000.00,650000.00,595000.00,592000.00,397000.00,261000.00,218000.00,218000.00,,6061000.00,Africa
ST.INT.ARVL,Antigua and Barbuda,ATG,634000.00,624000.00,528000.00,623000.00,769000.00,712000.00,838000.00,935000.00,863000.00,944000.00,788000.00,848000.00,819000.00,777000.00,771000.00,894000.00,874000.00,1040000.00,1064000.00,1035000.00,384500.00,16764500.00,North America
ST.INT.ARVL,Argentina,ARG,2909000.00,2620000.00,2820000.00,2995000.00,3457000.00,3823000.00,4173000.00,4562000.00,4700000.00,4308000.00,6800000.00,6703000.00,6497000.00,6510000.00,7165000.00,6816000.00,6668000.00,6711000.00,6942000.00,7399000.00,,104578000.00,South America
ST.INT.ARVL,Armenia,ARM,45000.00,123000.00,162000.00,206000.00,263000.00,319000.00,382000.00,511000.00,558000.00,575000.00,684000.00,758000.00,963000.00,1084000.00,1204000.00,1192000.00,1260000.00,1495000.00,1652000.00,1894000.00,375000.00,15705000.00,Europe
ST.INT.ARVL,Aruba,ABW,1211000.00,1178000.00,1225000.00,1184000.00,1304000.00,1286000.00,1285000.00,1254000.00,1383000.00,1420000.00,1394000.00,1469000.00,1481000.00,1667000.00,1739000.00,1832000.00,1758000.00,1863000.00,1897000.00,1951000.00,,29781000.00,Null
ST.INT.ARVL,Australia,AUS,4931000.00,4856000.00,4841000.00,4746000.00,5215000.00,5499000.00,5532000.00,5644000.00,5586000.00,5490000.00,5790000.00,5771000.00,6032000.00,6482000.00,6922000.00,7449000.00,8269000.00,8815000.00,9246000.00,9466000.00,1828000.00,128410000.00,Oceania
ST.INT.ARVL,Austria,AUT,17982000.00,18180000.00,18611000.00,19078000.00,19374000.00,19952000.00,20269000.00,20773000.00,21935000.00,21355000.00,22004000.00,23012000.00,24151000.00,24813000.00,25291000.00,26728000.00,28121000.00,29460000.00,30816000.00,31884000.00,15091000.00,478880000.00,Europe
