Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_departures_sum,continent
ST.INT.DPRT,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Albania,ALB,,955000,1303000,1350000,1694000,2097000,2616000,2979000,3716000,3404000,3443000,4120000,3959000,3928000,4146000,4504000,4852000,5186000,5415000,5922000,2907000,68496000,Europe
ST.INT.DPRT,Algeria,DZA,1006000,1190000,1257000,1254000,1417000,1513000,1349000,1499000,1539000,1677000,1757000,1715000,1911000,2136000,2839000,3638000,4530000,5058000,5610000,5732000,1386000,50013000,Africa
ST.INT.DPRT,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Argentina,ARG,,,,,4436000,4481000,4533000,4928000,5425000,5793000,6083000,7676000,8295000,9844000,10022000,13159000,18645000,21583000,18411000,15352000,,158666000,South America
ST.INT.DPRT,Armenia,ARM,111000,110000,131000,169000,221000,269000,329000,468000,516000,526000,563000,715000,965000,1083000,1198000,1187000,1263000,1482000,1623000,1868000,346000,15143000,Europe
ST.INT.DPRT,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Australia,AUS,3498000,3443000,3461000,3388000,4369000,4756000,4941000,5462000,5808000,6276000,7103000,7788000,8212000,9052000,9480000,9810000,10390000,10932000,11403000,11624000,2832000,144028000,Oceania
ST.INT.DPRT,Austria,AUT,7528000,8350000,8266000,8384000,8371000,8206000,10042000,9876000,9677000,10121000,9882000,9874000,10960000,10671000,10994000,10628000,11534000,11491000,11043000,11902000,3964000,201764000,Europe
ST.INT.DPRT,Azerbaijan,AZE,1326000,1130000,1141000,1475000,1473000,1830000,1836000,1631000,2162000,2363000,3176000,3550000,3874000,4285000,4244000,4096000,4282000,4109000,4908000,5568000,1165000,59624000,Europe
ST.INT.DPRT,"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Bahrain,BHR,,,,,,,,,,,,,,,,4741000,3293000,3136000,2868000,2950000,,16988000,Asia
ST.INT.DPRT,Bangladesh,BGD,1128000,1075000,1158000,1414000,1565000,1767000,1819000,2327000,875000,2254000,1913000,2127000,2273000,1460000,,,,,,,,23155000,Asia
ST.INT.DPRT,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Belarus,BLR,4747000,4008000,6160000,6518000,6924000,6596000,6811000,7512000,6323000,6440000,7464000,7542000,8427000,8841000,7236000,6972000,8340000,9209000,9326000,9221000,2810000,147427000,Europe
ST.INT.DPRT,Belgium,BEL,7932000,6570000,6773000,7268000,8783000,9327000,7852000,8371000,8887000,8775000,8801000,9727000,9576000,10803000,10991000,10835000,13372000,12142000,13098000,14191000,5850000,199924000,Europe
ST.INT.DPRT,Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Bermuda,BMU,,140000,145000,141000,156000,161000,170000,181000,192000,,,,,,,,,,,,,1286000,Null
ST.INT.DPRT,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,72000,,72000,Asia
ST.INT.DPRT,Bolivia,BOL,201000,222000,217000,304000,346000,386000,472000,526000,589000,518000,604000,775000,788000,837000,932000,965000,940000,997000,1060000,1160000,432000,13271000,South America
ST.INT.DPRT,Bosnia and Herz.,BIH,,,,,,,,,,,,,,,,,,,,,,0,Europe
ST.INT.DPRT,Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Brazil,BRA,3228000,2674000,2338000,3229000,2968000,3364000,3886000,4662000,5238000,4920000,6457000,7807000,8497000,8866000,9617000,9478000,8872000,10610000,10628000,,,117339000,South America
ST.INT.DPRT,British Virgin Islands,VGB,,,,,,,171000,166000,166000,140000,151000,145000,139000,,,,,,,,,1078000,Null
ST.INT.DPRT,Brunei,BRN,,,,,,,,,,,,,,,,,,,,,,0,Asia
ST.INT.DPRT,Bulgaria,BGR,2337000,2730000,3188000,3403000,3882000,4235000,4180000,4515000,5727000,4993000,3676000,3803000,3758000,3930000,4158000,4632000,5392000,6228000,6699000,7007000,3973000,92446000,Europe
ST.INT.DPRT,Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Burundi,BDI,28000,35000,,,,,,,,,,,,,,,,,,,,63000,Africa
ST.INT.DPRT,Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Cambodia,KHM,41000,37000,45000,60000,239000,568000,787000,996000,786000,340000,505000,710000,792000,872000,956000,1194000,1434000,1752000,1995000,2038000,326000,16473000,Asia
ST.INT.DPRT,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Canada,CAN,,,,,,,46912000,50044000,51737000,47481000,53620000,61909000,65175000,65780000,63737000,55971000,52979000,54955000,38069000,37845898.44,,746214898.4,North America
ST.INT.DPRT,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Central African Republic,CAF,,,5000,6000,7000,8000,11000,,,,38000,,,,,,,,,,,75000,Africa
ST.INT.DPRT,Chad,TCD,,,,,,,,,58000,66000,39000,76000,79000,,,,56000,52000,,,5500,431500,Africa
ST.INT.DPRT,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Chile,CHL,1528000,1340000,1444000,1509000,1727000,2031000,2264000,2451000,2317000,2359000,2737000,3220000,3448000,3674000,3842000,4103000,4269000,4367000,4605000,4091000,,57326000,South America
ST.INT.DPRT,China,CHN,10473000,12133000,16602000,20222000,28853000,31026000,34524000,40954000,45844000,47656000,57386000,70250000,83182000,98185000,116593000,127860000,135130000,143035000,149720000,154632000,20334000,1444594000,Asia
ST.INT.DPRT,Colombia,COL,1235000,1381000,1277000,1177000,1405000,1553000,,2028000,2042000,2122000,2342000,2522000,3169000,3605000,3911000,3862000,3795000,4017000,4368000,4479000,1275000,51565000,South America
ST.INT.DPRT,Comoros,COM,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Dem. Rep. Congo,COD,,,,,,,,,,,,,,,,356000,424000,,,,,780000,Null
ST.INT.DPRT,Congo,COG,,,,,,,,,,,,,161000,180000,,,,,,,,341000,Africa
ST.INT.DPRT,Costa Rica,CRI,381000,361000,364000,373000,425000,487000,485000,577000,528000,579000,662000,717000,773000,790000,798000,919000,1036000,1150000,1079000,1153000,324000,13961000,North America
ST.INT.DPRT,Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Croatia,HRV,,,,,,,,,4393000,4823000,,5526000,5159000,5444000,4638000,4355000,2581000,2597000,2980000,3500000,678000,46674000,Europe
ST.INT.DPRT,Cuba,CUB,139000,121000,111000,113000,124000,162000,199000,194000,202000,206000,251000,253000,213000,286000,355000,580000,385000,459000,552000,650000,271000,5826000,North America
ST.INT.DPRT,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,0,Null
ST.INT.DPRT,Cyprus,CYP,588000,684000,744000,737000,859000,914000,932000,1081000,1210000,1172000,1246000,1209000,1194000,1115000,1209000,1119000,1268000,1407000,1446000,1578000,,21712000,Europe
ST.INT.DPRT,Czechia,CZE,,,,7213000,6643000,6963000,6393000,9048000,9665000,8904000,8673000,5279000,5419000,5781000,5651000,5856000,6027000,6775000,7390000,7346000,2399000,121425000,Europe
ST.INT.DPRT,Denmark,DNK,5011000,4946000,4935000,5564000,4630000,5469000,6129000,6564000,6347000,7037000,7726000,7846000,7843000,6977000,8528000,8991000,9651000,8087000,7475000,9088000,4230000,143074000,Europe
ST.INT.DPRT,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,0,North America
ST.INT.DPRT,Dominican Rep.,DOM,360000,331000,332000,321000,368000,419000,420000,443000,413000,415000,401000,408000,418000,392000,427000,478000,500000,522000,514000,532000,210000,8624000,Null
ST.INT.DPRT,Ecuador,ECU,520000,562000,627000,613000,603000,664000,733000,801000,815000,814000,899000,1022000,1022000,1138000,1096000,1221000,1366000,1347000,1402000,1515000,,18780000,South America
ST.INT.DPRT,Egypt,EGY,,,,,,,,,,4716000,4618000,4863000,5678000,5782000,6180000,,,,,,,31837000,Africa
ST.INT.DPRT,El Salvador,SLV,923000,933000,1001000,940000,1079000,1239000,1242000,1012000,,1345000,1421000,1469000,1462000,1515000,1515000,1618000,1804000,1871000,1788000,1899000,515000,26591000,North America
ST.INT.DPRT,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,0,Africa
ST.INT.DPRT,Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,0,Africa
