Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_expenditure_sum,continent
ST.INT.XPND.CD,Afghanistan,AFG,,,,,,,,,38000000.00,70000000.00,106000000.00,255000000.00,110000000.00,138000000.00,140000000.00,151000000.00,89000000.00,130000000.00,226000000.00,168000000.00,49000000.00,1670000000.00,Asia
ST.INT.XPND.CD,Albania,ALB,290000000.00,269000000.00,386000000.00,507000000.00,669000000.00,808000000.00,989000000.00,1331000000.00,1644000000.00,1692000000.00,1452000000.00,1677000000.00,1374000000.00,1567000000.00,1689000000.00,1311000000.00,1338000000.00,1473000000.00,1750000000.00,1852000000.00,805000000.00,24873000000.00,Europe
ST.INT.XPND.CD,Algeria,DZA,,,,,,660000000.00,414000000.00,502000000.00,613000000.00,574000000.00,716000000.00,595000000.00,598000000.00,531000000.00,679000000.00,762000000.00,556000000.00,632000000.00,542000000.00,670000000.00,272000000.00,9316000000.00,Africa
ST.INT.XPND.CD,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,0.00,Null
ST.INT.XPND.CD,Andorra,AND,,,,,,,,,,,,,,,,,,,,187000000.00,,187000000.00,Europe
ST.INT.XPND.CD,Angola,AGO,146000000.00,80000000.00,52000000.00,49000000.00,86000000.00,135000000.00,393000000.00,473000000.00,447000000.00,270000000.00,275000000.00,323000000.00,288000000.00,316000000.00,505000000.00,389000000.00,823000000.00,1216000000.00,762000000.00,717000000.00,691000000.00,8436000000.00,Africa
ST.INT.XPND.CD,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,89000000.00,95000000.00,101000000.00,106000000.00,111000000.00,119000000.00,35000000.00,656000000.00,North America
ST.INT.XPND.CD,Argentina,ARG,5460000000.00,4888000000.00,2744000000.00,2997000000.00,3208000000.00,3554000000.00,4047000000.00,5077000000.00,5987000000.00,5808000000.00,6448000000.00,7602000000.00,8466000000.00,8421000000.00,7837000000.00,9348000000.00,12273000000.00,14180000000.00,13084000000.00,9845000000.00,2746000000.00,144000000000.00,South America
ST.INT.XPND.CD,Armenia,ARM,56000000.00,59000000.00,85000000.00,97000000.00,199000000.00,255000000.00,300000000.00,430000000.00,494000000.00,496000000.00,641000000.00,756000000.00,874000000.00,1007000000.00,1101000000.00,1057000000.00,1033000000.00,1218000000.00,1335000000.00,1543000000.00,330000000.00,13366000000.00,Europe
ST.INT.XPND.CD,Aruba,ABW,163000000.00,156000000.00,172000000.00,213000000.00,248000000.00,250000000.00,241000000.00,270000000.00,272000000.00,264000000.00,261000000.00,287000000.00,294000000.00,342000000.00,350000000.00,357000000.00,319000000.00,349000000.00,394000000.00,399000000.00,310000000.00,5911000000.00,Null
ST.INT.XPND.CD,Australia,AUS,9065000000.00,8184000000.00,8640000000.00,10434000000.00,14702000000.00,16153000000.00,17293000000.00,22052000000.00,25557000000.00,22680000000.00,27851000000.00,33967000000.00,35226000000.00,35197000000.00,35666000000.00,34071000000.00,35718000000.00,39710000000.00,42439000000.00,41345000000.00,7654000000.00,524000000000.00,Oceania
ST.INT.XPND.CD,Austria,AUT,7001000000.00,7408000000.00,7743000000.00,9761000000.00,10812000000.00,11077000000.00,,,,,,,,,,11337000000.00,11634000000.00,12878000000.00,14109000000.00,13922000000.00,5551000000.00,123000000000.00,Europe
ST.INT.XPND.CD,Azerbaijan,AZE,138000000.00,119000000.00,110000000.00,120000000.00,140000000.00,188000000.00,256000000.00,381000000.00,456000000.00,488000000.00,856000000.00,1778000000.00,2617000000.00,3032000000.00,3163000000.00,2743000000.00,2593000000.00,2803000000.00,2453000000.00,1839000000.00,439000000.00,26712000000.00,Europe
ST.INT.XPND.CD,"Bahamas, The",BHS,348000000.00,342000000.00,338000000.00,404000000.00,469000000.00,528000000.00,541000000.00,538000000.00,460000000.00,386000000.00,369000000.00,347000000.00,384000000.00,362000000.00,328000000.00,347000000.00,440000000.00,554000000.00,519000000.00,514000000.00,166000000.00,8684000000.00,Null
ST.INT.XPND.CD,Bahrain,BHR,425000000.00,423000000.00,550000000.00,492000000.00,528000000.00,574000000.00,639000000.00,671000000.00,704000000.00,597000000.00,684000000.00,899000000.00,975000000.00,1001000000.00,758000000.00,4939000000.00,3267000000.00,3178000000.00,2522000000.00,2637000000.00,,26463000000.00,Asia
ST.INT.XPND.CD,Bangladesh,BGD,471000000.00,341000000.00,309000000.00,389000000.00,442000000.00,371000000.00,481000000.00,530000000.00,735000000.00,651000000.00,835000000.00,819000000.00,889000000.00,1308000000.00,782000000.00,827000000.00,843000000.00,1127000000.00,1207000000.00,1389000000.00,659000000.00,15405000000.00,Asia
ST.INT.XPND.CD,Barbados,BRB,141000000.00,149000000.00,146000000.00,153000000.00,163000000.00,158000000.00,166000000.00,177000000.00,154000000.00,128000000.00,145000000.00,114000000.00,100000000.00,102000000.00,115000000.00,119000000.00,99000000.00,,,,,2329000000.00,North America
ST.INT.XPND.CD,Belarus,BLR,247000000.00,486000000.00,527000000.00,436000000.00,500000000.00,516000000.00,675000000.00,724000000.00,860000000.00,752000000.00,748000000.00,729000000.00,948000000.00,1333000000.00,1308000000.00,997000000.00,891000000.00,1082000000.00,1170000000.00,1224500000.00,477000000.00,16630500000.00,Europe
ST.INT.XPND.CD,Belgium,BEL,,10878000000.00,11270000000.00,13402000000.00,15456000000.00,16771000000.00,17891000000.00,19211000000.00,,20813000000.00,20884000000.00,22836000000.00,22357000000.00,24507000000.00,26444000000.00,15856000000.00,16522000000.00,17835000000.00,20789000000.00,20998000000.00,13928000000.00,349000000000.00,Europe
