Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,total_receipts_sum,continent
ST.INT.RCPT.CD,Afghanistan,AFG,,,,,,,,,57000000.00,89000000.00,147000000.00,165000000.00,167000000.00,179000000.00,121000000.00,86000000.00,62000000.00,16000000.00,50000000.00,85000000.00,75000000.00,1299000000.00,Asia
ST.INT.RCPT.CD,Albania,ALB,398000000.00,451000000.00,492000000.00,537000000.00,756000000.00,880000000.00,1057000000.00,1479000000.00,1850000000.00,2013000000.00,1778000000.00,1833000000.00,1623000000.00,1670000000.00,1849000000.00,1613000000.00,1821000000.00,2050000000.00,2306000000.00,2458000000.00,1243000000.00,30157000000.00,Europe
ST.INT.RCPT.CD,Algeria,DZA,,,,,,477000000.00,393000000.00,334000000.00,473000000.00,361000000.00,324000000.00,300000000.00,295000000.00,326000000.00,316000000.00,347000000.00,246000000.00,171000000.00,196500000.00,140000000.00,50000000.00,4749500000.00,Africa
ST.INT.RCPT.CD,American Samoa,ASM,,,,,,,,,,,,,,,,,22000000.00,22000000.00,,,,44000000.00,Null
ST.INT.RCPT.CD,Andorra,AND,,,,,,,,,,,,,,,,,,,,1910000000.00,,1910000000.00,Europe
ST.INT.RCPT.CD,Angola,AGO,34000000.00,35000000.00,51000000.00,63000000.00,82000000.00,103000000.00,91000000.00,236000000.00,293000000.00,554000000.00,726000000.00,653000000.00,711000000.00,1241000000.00,1597000000.00,1171000000.00,628000000.00,884000000.00,557000000.00,395000000.00,19000000.00,10124000000.00,Africa
ST.INT.RCPT.CD,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,803000000.00,802000000.00,844000000.00,820000000.00,854000000.00,992000000.00,416000000.00,5531000000.00,North America
ST.INT.RCPT.CD,Argentina,ARG,3195000000.00,2756000000.00,1716000000.00,2306000000.00,2660000000.00,3209000000.00,3926000000.00,5030000000.00,5273000000.00,4455000000.00,5605000000.00,6058000000.00,5665000000.00,5199000000.00,5645000000.00,5441000000.00,5466000000.00,5830000000.00,5999000000.00,5654000000.00,1702000000.00,92790000000.00,South America
ST.INT.RCPT.CD,Armenia,ARM,52000000.00,81000000.00,81000000.00,90000000.00,189000000.00,243000000.00,406000000.00,522000000.00,564000000.00,570000000.00,694000000.00,762000000.00,853000000.00,905000000.00,994000000.00,956000000.00,1037000000.00,1224000000.00,1358000000.00,1553000000.00,303000000.00,13437000000.00,Europe
ST.INT.RCPT.CD,Aruba,ABW,850000000.00,825000000.00,835000000.00,858099975.60,1057000000.00,1097000000.00,1064099976.00,1213400024.00,1352000000.00,1223000000.00,1254000000.00,1358000000.00,1412000000.00,1506000000.00,1625000000.00,1659000000.00,1757000000.00,1855000000.00,2035000000.00,2109000000.00,1077000000.00,28021599976.00,Null
