ID,Name,Parent
1,North America,
2,Asia,
3,Europe,
4,Oceania,
5,United States of America,1
6,Canada,1
7,China,2
8,Turkey,3
9,Japan,2
10,France,3
11,Mexico,1
12,Australia,4
13,South Korea,2
14,England,3
15,Las Vegas Strip (Las Vegas),5
16,Times Square (New York),5
17,Central Park (New York),5
18,Niagara Falls (Ontario),6
19,Grand Central Terminal (New York),5
20,Faneuil Hall Marketplace (Boston),5
21,Disneyworld's Magic Kingdom (Orlando),5
22,Disneyland Park (Anaheim),5
23,Forbidden City (Beijing),7
24,Grand Bazaar (Istanbul),8
25,Disneyland (Tokyo),9
26,Notre Dame Cathedral (Paris),10
27,Golden Gate Park (San Francisco),5
28,DisneySea (Tokyo),9
29,Disneyland (Paris),10
30,Epcot (Florida),5
31,Sacre Coeur Basilica (Paris),10
32,Tsim Sha Tsui Waterfront (Hong Kong),7
33,Pike Place Market (Seattle),5
34,Zocalo (Mexico City),11
35,Disney's Animal Kingdom (Florida),5
36,Disney's Hollywood Studios (Florida),5
37,Universal Studios (Osaka),9
38,Great Smoky Mountains (Tennessee),5
39,Navy Pier (Chicago),5
40,Louvre (Paris),10
41,Great Wall of China,7
42,South Street Seaport (New York),5
43,Pier 39 (San Francisco),5
44,Sydney Opera House (Sydney),12
45,National Museum of Natural History - Smithsonian (Washington D.C.),5
46,Islands of Adventure - Universal (Orlando),5
47,Disney's California Adventure (California),5
48,Ocean Park (Hong Kong),7
49,Victoria Peak (Hong Kong),7
50,National Air and Space Museum - Smithsonin (Washington D.C.),5
51,Eiffel Tower (Paris),10
52,Everland (Gyeonggi-Do),13
53,British Museum (London),14
54,Disneyland (Hong Kong),7
55,Lotte World (Seoul),13
56,Lake Mead (Nevada),5
57,Universal Studios (Florida),5
58,Lincoln Memorial (Washington D.C.),5
59,Metropolitan Museum of Art (New York),5
60,Bourbon Street (New Orleans),5
61,Universal Studios (Hollywood),5
62,Palace of Versailles (Versailles),10
63,Nagashima Spa Land (Kuwana),9
